# Lienzo fijo de referencia: 1556 x 1948 px (tamaño real de la imagen del plano usada)
# Origen de coordenadas: esquina superior izquierda (0,0)
#
# SECCION: VERTICES
# Formato -> ID|Nombre|Coord_X|Coord_Y
1|Puerta 1|1188|255
2|Puerta 2|109|442
3|Puerta 3|176|733
4|Puerta 7|775|1435
5|Fac. Ciencias Economicas y Fac. Ciencias Contables|349|614
6|Puerta 8|1170|1841
7|Comedor|685|432
8|Biblioteca Central|1128|1139
9|Estadio San Marcos|561|1141
10|Fac. Ciencias Matematicas|563|293

# SECCION: ARISTAS
# Formato -> ID_Origen|ID_Destino|Peso|Es_Accesible|Nivel_Restriccion|Waypoints
#   Peso: distancia estimada en metros
#   Es_Accesible: true/false (ruta apta para sillas de ruedas)
#   Nivel_Restriccion: 0 = libre, 1 = restringido (horario/vigilancia), 2 = alta restriccion
#   Waypoints (opcional): puntos intermedios en pixeles de mapa.png, formato x1,y1;x2,y2;x3,y3 en sentido ID_Origen -> ID_Destino
1|7|90|true|0|1172,259;949,552;942,563;925,569;907,574;890,574;877,573;857,569;834,558;794,498;776,492;775,481;772,469;767,456;761,443;752,430;745,421;734,414;717,413;702,419
2|7|140|true|0|104,423;115,443;135,469;167,481;216,484;268,481;322,475;377,469;417,464;472,461;515,461;540,464;584,477;600,480;612,478;622,470;626,456;634,436;642,432;655,430;665,430;678,430
2|3|200|true|0|103,423;113,444;136,470;167,482;179,735
3|9|180|false|1|178,738;214,857;226,883;511,1188;530,1198;546,1194;554,1181;571,1147
7|9|220|true|0|679,429;665,428;655,428;642,436;630,441;625,459;623,470;610,480;596,481;583,479;539,466;536,482;542,490;553,506;570,537;572,548;567,559;556,575;536,599;519,626;503,656;489,696;474,738;465,814;469,858;479,894;493,932;498,961;505,1002;505,1030;495,1044;473,1069;461,1089;461,1101;479,1131;488,1158;514,1192;531,1200;547,1196;561,1173;571,1147
9|10|100|true|0|568,1147;561,1175;547,1193;530,1200;513,1192;505,1189;488,1163;479,1134;460,1103;460,1088;473,1065;498,1043;507,1008;497,958;494,938;477,890;472,859;466,815;473,741;487,694;499,656;522,623;535,596;558,576;577,557;582,541;572,531;554,505;541,482;537,471;540,465;551,468;563,471;581,474;598,478;609,479;630,458;639,435;641,416;641,399;628,314;613,312;573,315
10|8|70|true|0|569,306;573,312;581,314;599,317;616,319;626,328;629,346;631,355;632,376;642,389;661,397;680,404;700,409;722,416;740,425;750,437;757,446;765,464;781,483;794,501;807,514;819,529;830,549;844,565;866,574;921,591;942,614;949,632;960,656;979,672;1062,746;1069,766;1074,781;1071,801;1054,825;1049,849;1057,876;1057,895;1045,909;1039,928;1034,961;1039,996;1044,1026;1049,1061;1054,1072;1063,1091;1084,1106;1105,1116;1121,1124
8|4|150|true|0|1120,1124;1103,1120;1082,1120;1057,1139;1048,1163;1044,1190;1035,1222;1029,1240;1020,1263;1009,1275;976,1276;944,1276;917,1275;885,1294;771,1420
4|5|90|false|2|769,1417;801,1389;656,1267;651,1259;643,1246;615,1137;613,1129;603,1122;535,1099;525,1098;509,1107;488,1117;478,1119;470,1124;313,982;303,962;298,941;297,918;299,902;309,885;321,876;326,865
5|6|200|true|1|326,866;320,879;309,887;299,905;299,918;297,939;302,960;313,981;471,1124;480,1117;488,1119;510,1109;527,1098;537,1099;602,1122;612,1130;616,1137;642,1246;652,1260;656,1269;802,1388;859,1454;886,1468;910,1472;931,1474;947,1479;971,1486;986,1495;998,1506;1017,1523;1047,1545;1090,1561;1256,1608;1271,1613;1272,1626;1226,1801
6|8|230|true|0|1225,1800;1273,1628;1272,1612;1259,1609;1092,1563;1085,1554;1078,1536;1079,1515;1186,1194;1188,1177;1183,1163;1178,1151;1151,1146;1135,1145
3|4|250|false|1|177,744;180,775;189,811;208,844;232,890;260,925;473,1126;489,1118;511,1109;528,1100;540,1100;596,1121;613,1129;617,1139;640,1246;647,1258;660,1271;804,1388;766,1421
